id,tk_chunk_id,contract_clause,tk_evidence,label
N020,art:180:part:2:sub:0,Работодатель проводит ежегодный пересмотр штатного расписания в январе.,"О предстоящем увольнении в связи с ликвидацией организации, сокращением численности или штата работников организации работники предупреждаются работодателем персонально и под роспись не менее чем за два месяца до увольнения.",neutral
N021,art:236:part:1:sub:0,"Заработная плата перечисляется на банковский счет, указанный работником в заявлении.","При нарушении работодателем установленного срока соответственно выплаты заработной платы, оплаты отпуска, выплат при увольнении и (или) других выплат, причитающихся работнику, работодатель обязан выплатить их с уплатой процентов (денежной компенсации) в размере не ниже одной сто пятидесятой действующей в это время ключевой ставки Центрального банка Российской Федерации от начисленных, но не выплаченных в срок сумм и (или) не начисленных своевременно сумм в случае, если вступившим в законную силу решением суда было признано право работника на получение неначисленных сумм, за каждый день задержки начиная со дня, следующего за днем, в который эти суммы должны были быть выплачены при своевременном их начислении в соответствии с трудовым законодательством и иными нормативными правовыми актами, содержащими нормы трудового права, коллективным договором, соглашением, локальным нормативным актом, трудовым договором, по день фактического расчета включительно. При неполной выплате в установленный срок заработной платы и (или) других выплат, причитающихся работнику, размер процентов (денежной компенсации) исчисляется из фактически не выплаченных в срок сумм.",neutral
N022,art:259:part:1:sub:0,Беременной работнице предоставляется возможность проходить обязательные кадровые обучения в дистанционном формате.,"Запрещаются направление в служебные командировки, привлечение к сверхурочной работе, работе в ночное время, выходные и нерабочие праздничные дни беременных женщин.",neutral
N023,art:284:part:1:sub:0,Совместитель выполняет трудовую функцию дистанционно с использованием корпоративной учетной записи.,"Продолжительность рабочего времени при работе по совместительству не должна превышать четырех часов в день. В дни, когда по основному месту работы работник свободен от исполнения трудовых обязанностей, он может работать по совместительству полный рабочий день (смену). В течение одного месяца (другого учетного периода) продолжительность рабочего времени при работе по совместительству не должна превышать половины месячной нормы рабочего времени (нормы рабочего времени за другой учетный период), установленной для соответствующей категории работников.",neutral
N024,art:312.6:part:2:sub:0,Дистанционный работник обязан соблюдать правила информационной безопасности работодателя.,"Дистанционный работник вправе с согласия или ведома работодателя и в его интересах использовать для выполнения трудовой функции принадлежащие работнику или арендованные им оборудование, программно-технические средства, средства защиты информации и иные средства. При этом работодатель выплачивает дистанционному работнику компенсацию за использование принадлежащих ему или арендованных им оборудования, программно-технических средств, средств защиты информации и иных средств, а также возмещает расходы, связанные с их использованием, в порядке, сроки и размерах, которые определяются коллективным договором, локальным нормативным актом, принятым с учетом мнения выборного органа первичной профсоюзной организации, трудовым договором, дополнительным соглашением к трудовому договору.",neutral
N025,art:312.8:part:1:sub:0,Дистанционный работник направляет отчет о выполненных задачах каждую пятницу до 18:00.,"Помимо иных оснований, предусмотренных настоящим Кодексом, трудовой договор с дистанционным работником может быть расторгнут по инициативе работодателя в случае, если в период выполнения трудовой функции дистанционно работник без уважительной причины не взаимодействует с работодателем по вопросам, связанным с выполнением трудовой функции, более двух рабочих дней подряд со дня поступления соответствующего запроса работодателя (за исключением случая, если более длительный срок для взаимодействия с работодателем не установлен порядком взаимодействия работодателя и работника, предусмотренным частью девятой статьи 312.3 настоящего Кодекса).",neutral
N026,art:70:part:5:sub:0,Работник подчиняется руководителю департамента аналитики и выполняет поручения в пределах трудовой функции.,"Срок испытания не может превышать трех месяцев, а для руководителей организаций и их заместителей, главных бухгалтеров и их заместителей, руководителей филиалов, представительств или иных обособленных структурных подразделений организаций - шести месяцев, если иное не установлено федеральным законом.",neutral
N027,art:70:part:4:sub:2,Работнице предоставляется отдельное парковочное место на территории работодателя.,"Испытание при приеме на работу не устанавливается для: беременных женщин и женщин, имеющих детей в возрасте до полутора лет;",neutral
N028,art:80:part:1:sub:0,Работник уведомляет непосредственного руководителя о временной нетрудоспособности в день открытия больничного листа.,"Работник имеет право расторгнуть трудовой договор, предупредив об этом работодателя в письменной форме не позднее чем за две недели, если иной срок не установлен настоящим Кодексом или иным федеральным законом. Течение указанного срока начинается на следующий день после получения работодателем заявления работника об увольнении.",neutral
N029,art:72:part:1:sub:0,Работник соглашается соблюдать кодекс деловой этики работодателя.,"Изменение определенных сторонами условий трудового договора, в том числе перевод на другую работу, допускается только по соглашению сторон трудового договора, за исключением случаев, предусмотренных настоящим Кодексом. Соглашение об изменении определенных сторонами условий трудового договора заключается в письменной форме.",neutral
N030,art:74:part:2:sub:0,Работодатель уведомляет работника о плановой инвентаризации имущества за пять рабочих дней.,"О предстоящих изменениях определенных сторонами условий трудового договора, а также о причинах, вызвавших необходимость таких изменений, работодатель обязан уведомить работника в письменной форме не позднее чем за два месяца, если иное не предусмотрено настоящим Кодексом.",neutral
N031,art:58:part:1:sub:2,Место работы работника — офис работодателя в городе Казани.,"Трудовые договоры могут заключаться: 2) на определенный срок не более пяти лет (срочный трудовой договор), если иной срок не установлен настоящим Кодексом и иными федеральными законами.",neutral
N032,art:59:part:1:sub:3,Работнику устанавливается испытательный срок два месяца.,"Срочный трудовой договор заключается: для выполнения сезонных работ, когда в силу природных условий работа может производиться только в течение определенного периода (сезона);",neutral
N033,art:93:part:2:sub:0,Работник имеет право пользоваться корпоративной библиотекой и внутренними образовательными курсами.,При работе на условиях неполного рабочего времени оплата труда работника производится пропорционально отработанному им времени или в зависимости от выполненного им объема работ.,neutral
N034,art:94:part:1:sub:1,Работник старше 18 лет выполняет работу преимущественно за компьютером.,"Продолжительность ежедневной работы (смены) не может превышать: для работников (включая лиц, получающих общее образование или среднее профессиональное образование и работающих в период каникул) в возрасте от четырнадцати до пятнадцати лет - 4 часа, в возрасте от пятнадцати до шестнадцати лет - 5 часов, в возрасте от шестнадцати до восемнадцати лет - 7 часов;",neutral
N035,art:91:part:2:sub:0,"В течение рабочего дня Работнику устанавливается перерыв для отдыха и питания с 12:00 до 13:00, который в рабочее время не включается.",Нормальная продолжительность рабочего времени не может превышать 40 часов в неделю.,neutral
N036,art:356:part:1:sub:10,"В течение рабочего дня Работнику устанавливается перерыв для отдыха и питания с 12:00 до 13:00, который в рабочее время не включается.","В соответствии с возложенными на нее задачами федеральная инспекция труда реализует следующие основные полномочия: ведет прием и рассматривает заявления, письма, жалобы и иные обращения граждан о нарушениях их трудовых прав, принимает меры по устранению выявленных нарушений и восстановлению нарушенных прав;",neutral
